name of the body,position x,position y,position z
sun,-4.10839e-05,-0.000992665,5.40905e-06
jupiter,4.95038,-0.303501,-0.109609
saturn,8.02134,4.66267,-0.40008
uranus,13.2162,-14.847,-0.226505
neptune,15.6724,-25.7392,0.16882
sun,-3.99202e-05,-0.00102594,5.52907e-06
jupiter,4.95155,-0.274651,-0.109755
saturn,8.00998,4.68025,-0.399934
uranus,13.2268,-14.8381,-0.22661
neptune,15.6821,-25.7331,0.168472
sun,-3.85919e-05,-0.00105922,5.64514e-06
jupiter,4.95256,-0.245791,-0.109897
saturn,7.99859,4.69781,-0.399787
uranus,13.2374,-14.8292,-0.226714
neptune,15.6918,-25.727,0.168123
sun,-3.70989e-05,-0.0010925,5.75724e-06
jupiter,4.95341,-0.216923,-0.110035
saturn,7.98716,4.71535,-0.399637
uranus,13.248,-14.8202,-0.226819
neptune,15.7015,-25.721,0.167775
sun,-3.54411e-05,-0.00112578,5.86538e-06
jupiter,4.9541,-0.188049,-0.11017
saturn,7.97568,4.73287,-0.399486
uranus,13.2586,-14.8113,-0.226923
neptune,15.7113,-25.7149,0.167427
sun,-3.36186e-05,-0.00115906,5.96954e-06
jupiter,4.95463,-0.159168,-0.110302
saturn,7.96417,4.75036,-0.399333
uranus,13.2692,-14.8023,-0.227028
neptune,15.721,-25.7088,0.167078
sun,-3.16312e-05,-0.00119234,6.06973e-06
jupiter,4.955,-0.130282,-0.11043
saturn,7.95262,4.76783,-0.399177
uranus,13.2798,-14.7934,-0.227132
neptune,15.7307,-25.7027,0.16673
sun,-2.94789e-05,-0.00122561,6.16593e-06
jupiter,4.9552,-0.101392,-0.110554
saturn,7.94103,4.78527,-0.39902
uranus,13.2904,-14.7844,-0.227236
neptune,15.7404,-25.6967,0.166381
sun,-2.71617e-05,-0.00125889,6.25814e-06
jupiter,4.95525,-0.0724988,-0.110675
saturn,7.9294,4.80269,-0.398861
uranus,13.301,-14.7754,-0.22734
neptune,15.7501,-25.6906,0.166033
sun,-2.46795e-05,-0.00129215,6.34636e-06
jupiter,4.95514,-0.0436032,-0.110792
saturn,7.91773,4.82009,-0.3987
uranus,13.3115,-14.7665,-0.227444
neptune,15.7598,-25.6845,0.165684
sun,-2.20324e-05,-0.00132542,6.43059e-06
